1,1,100,Educational Background, Does  the  candidate  have  the  appropriate  educational qualifications  or training  for  this  position?,10,0,7/21/2021 17:15,
2,1,200,Prior  Work  Experience, Has  the  candidate  acquired  similar  skills  or  qualifications  through  past work  experiences?,20,0,7/21/2021 17:15,
3,1,300,Technical Qualifications, Does  the  candidate  have  the  technical skills  necessary  for this  position?,20,1,7/21/2021 17:15,
4,1,400,Verbal Communication, How  were  the  candidate's  communication  skills  during  the  interview?,10,0,7/21/2021 17:15,
5,1,500,Candidate  Enthusiasm, How  much  interest  did  the  candidate  show  in  the  position  and  the organization?,10,0,7/21/2021 17:15,
6,1,600,Industry Knowledge, Did  the  candidate  research  the environment prior  to  the  interview?,5,0,7/21/2021 17:15,9/9/2021 17:57
7,1,700,Interpersonal Skills," Did  the  candidate  demonstrate   through  their  answers,  good teambuilding/interpersonal skills?",15,0,7/21/2021 17:15,8/24/2021 11:34
8,1,800,Initiative," Did  the  candidate  demonstrate,  through  their  answers,  a  high  degree  of  initiative?",15,0,7/21/2021 17:15,
9,1,900,Time  Management," Did  the  candidate  demonstrate,  through  their  answers,  good  time  management skills?",10,0,7/21/2021 17:15,
10,1,1000,Customer  Service," Did  the  candidate  demonstrate,  through  their  answers,  a  high  leve of  customer service  skills/abilities?",10,0,7/21/2021 17:15,
11,1,1100,Overall Impression,What is your overall impression of this candidate as it relates to this position?,20,1,7/21/2021 17:15,9/9/2021 18:09
